Date,Open,High,Low,Close,Volume,VNINDEX_Open,VNINDEX_High,VNINDEX_Low,VNINDEX_Close,VNINDEX_Volume,USDVND_Close,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,SMA_10,SMA_30,EMA_10,RSI_14,MACD,MACD_Signal,BB_Mid,BB_Upper,BB_Lower,Day_Of_Week,Return_1D,Volume_Change,Price_to_SMA30,VNINDEX_Return,USDVND_Change,Target_Class
2020-01-30,0.6991391028545538,0.6913082437275986,0.6893665158371041,0.7060695612639236,0.0210544838581816,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2520251209431823,0.7060695612639236,0.0100009420430247,0.7060695612639236,0.0100009420430247,0.7060695612639236,0.0100009420430247,0.7060695612639236,0.7060998711828447,0.7060771083361905,0.0,-9.116046617585472e-05,-0.00012908870439603227,0.7061491248010912,0.7072156257637342,0.7050826238384481,3,0.0,1.105250062204525,0.999957074175824,0.0,0.0,0
2020-01-31,0.707068418667875,0.6913082437275986,0.7042986425339366,0.7051602636962946,0.0263519650484263,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2555946322965985,0.7060695612639236,0.0210544838581816,0.7060695612639236,0.0100009420430247,0.7060695612639236,0.0100009420430247,0.7059786315071607,0.7060316738652724,0.7059104093107549,0.0,-0.00015768588157694108,-0.00013480813983221405,0.7061491248010912,0.7072156257637342,0.7050826238384481,4,-0.0012878300064391723,0.25160821922434073,0.9987657633485376,0.0,0.014163315704631474,0
2020-02-01,0.707068418667875,0.6913082437275986,0.7042986425339366,0.7051602636962946,0.0263519650484263,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2555946322965985,0.7051602636962946,0.0263519650484263,0.7060695612639236,0.0210544838581816,0.7060695612639236,0.0100009420430247,0.7058877017503977,0.7059634765477002,0.7057740191990348,0.0,-0.00020800994342595747,-0.00014944850055096274,0.7061491248010912,0.7072156257637342,0.7050826238384481,5,0.0,0.0,0.9988622458836915,0.0,0.0,0
2020-02-02,0.707068418667875,0.6913082437275986,0.7042986425339366,0.7051602636962946,0.0263519650484263,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2555946322965985,0.7051602636962946,0.0263519650484263,0.7051602636962946,0.0263519650484263,0.7060695612639236,0.0210544838581816,0.7057967719936349,0.7057967719936349,0.7056624272894457,0.0,-0.0002450671435250129,-0.00016857222914577278,0.7061036599227097,0.7072583246282522,0.7049489952171673,6,0.0,0.0,0.9990981705745942,0.0,0.0,0
2020-02-03,0.6959673765292252,0.6904121863799284,0.6914027149321267,0.7051602636962946,0.0238166251042024,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2555946322965985,0.7051602636962946,0.0263519650484263,0.7051602636962946,0.0263519650484263,0.7051602636962946,0.0263519650484263,0.7057058422368719,0.7056300674395697,0.7055711248179637,0.0,-0.00027130777444561716,-0.00018911933820574164,0.7060013639463515,0.7071061944636048,0.7048965334290982,0,0.0,-0.09621065979575993,0.9993342067395458,0.0,0.0,0
2020-02-04,0.6939284096057997,0.6904121863799284,0.6861990950226244,0.7051602636962946,0.0495923442118565,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2555946322965985,0.7051602636962946,0.0238166251042024,0.7051602636962946,0.0263519650484263,0.7051602636962946,0.0263519650484263,0.7056149124801091,0.7054633628855043,0.705496422795842,0.0,-0.0002887748468256568,-0.0002090504399297247,0.7058990679699931,0.7069089830832449,0.7048891528567414,1,0.0,1.0822574145110937,0.9995703544575725,0.0,0.0,0
2020-02-05,0.7061622111463525,0.6904121863799284,0.6984162895927601,0.7019777222095931,0.0134363774357588,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2734421890636813,0.7051602636962946,0.0495923442118565,0.7051602636962946,0.0238166251042024,0.7051602636962946,0.0263519650484263,0.7052057285746761,0.7054633628855043,0.7048566590528876,0.0,-0.0005530469469534616,-0.0002778497413344721,0.7056376449192998,0.7075375741481182,0.7037377156904814,2,-0.004513217279174642,-0.7290634744274411,0.9950590762620838,0.0,0.06982758834454716,0
2020-02-06,0.7020842772995016,0.6892921146953406,0.6963800904977375,0.7010684246419641,0.0208259051167155,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2734421890636813,0.7019777222095931,0.0134363774357588,0.7051602636962946,0.0495923442118565,0.7051602636962946,0.0238166251042024,0.7047056149124801,0.7053648556490111,0.7041678891599924,0.0,-0.0008263317664433112,-0.00038754614635623996,0.7053875880882019,0.7081629259601868,0.702612250216217,3,-0.0012953367875647714,0.5499642828795981,0.9939089239098908,0.0,0.0,0
2020-02-07,0.6980063434526508,0.6863799283154122,0.6882352941176471,0.7010684246419641,0.0428387844445589,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2734421890636813,0.7010684246419641,0.0208259051167155,0.7019777222095931,0.0134363774357588,0.7051602636962946,0.0495923442118565,0.7042055012502841,0.7054027430476623,0.7036043501567145,0.0,-0.001031026918277833,-0.0005162423007405586,0.705137531257104,0.7084944218462241,0.7017806406679838,4,0.0,1.056995083981978,0.9938555407553818,0.0,0.0,0
2020-02-08,0.6980063434526508,0.6863799283154122,0.6882352941176471,0.7010684246419641,0.0428387844445589,0.0422007546361957,0.0379588620492894,0.0438306895348523,0.0580575733118107,0.1930834685188554,0.2734421890636813,0.7010684246419641,0.0428387844445589,0.7010684246419641,0.0208259051167155,0.7019777222095931,0.0134363774357588,0.7037053875880881,0.7053042358111692,0.7031432727903962,0.0,-0.0011796510182248143,-0.0006489240442374098,0.704887474426006,0.7086701154934968,0.7011048333585151,5,0.0,0.0,0.9939943488864298,0.0,0.0,0
