Date,Open,High,Low,Close,Volume,VNINDEX_Open,VNINDEX_High,VNINDEX_Low,VNINDEX_Close,VNINDEX_Volume,USDVND_Close
2020-01-01,0.5419888029858704,0.5306799336650083,0.5458015267175571,0.5588865096359743,0.0008419142592980579,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-02,0.5419888029858704,0.5306799336650083,0.5458015267175571,0.5588865096359743,0.0008419142592980579,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-03,0.5614502799253531,0.5439469320066332,0.5741548527808069,0.5653104925053534,0.01394588682596402,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-04,0.5614502799253531,0.5439469320066332,0.5741548527808069,0.5653104925053534,0.01394588682596402,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-05,0.5614502799253531,0.5439469320066332,0.5741548527808069,0.5653104925053534,0.01394588682596402,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-06,0.5582511330311917,0.5306799336650083,0.5509814612868047,0.5505888650963597,0.00772379445759001,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-07,0.5497200746467608,0.5403537866224433,0.5621592148309704,0.5687901498929335,0.005975092408739762,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-08,0.566515595841109,0.5403537866224433,0.5621592148309704,0.5730728051391862,0.02414881122859894,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-09,0.5742468675019994,0.5525152017689332,0.5776990185387132,0.5706638115631693,0.013885338197726832,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-10,0.5683817648627032,0.5475400773908237,0.5776990185387132,0.5746788008565311,0.012547021295817532,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-11,0.5683817648627032,0.5475400773908237,0.5776990185387132,0.5746788008565311,0.012547021295817532,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-12,0.5683817648627032,0.5475400773908237,0.5776990185387132,0.5746788008565311,0.012547021295817532,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-13,0.5742468675019994,0.5439469320066332,0.5607960741548528,0.5505888650963597,0.0037338320746266654,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.11920405981213111
2020-01-14,0.5483870967741935,0.529297954671089,0.5558887677208286,0.5572805139186296,0.0,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-15,0.5550519861370302,0.5257048092868988,0.5569792802617228,0.5572805139186296,0.016653756033238317,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-16,0.5550519861370302,0.5359314538419016,0.5569792802617228,0.5637044967880085,0.010087113137514585,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
2020-01-17,0.5614502799253531,0.5378662244333885,0.5676117775354417,0.5706638115631693,0.0019149705041682438,0.04220075463619577,0.037958862049289444,0.04383068953485236,0.05805757331181072,0.19308346851885544,0.2520251209431823
